"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"QUEEN ISABEL_WARWICK",202,9.0,0.0,9.0,0.0,9.0,4.0,5.0,22.0,5.0,1.0,17.0,1.0,3.0,19.0,1.0,6.0,2.0,0.0,9.0,0.0,13.0,2.0,6.0,13.0,18.0,1.0,2.0,0.0,3.0,11.0,4.0,3.0,0.0,3.0,7.0,0.0,4.0,2.0,4.0,0.0,2.0,21.0,22.0,0.0,4.0,18.0,78.0,0.0,3.0,0.0,2.0,1.0,8.0,3.0,4.0,5.0,0.0,0.0,1.0,1.0,6.0,0.0,5.0,2.0
"BURGUNDY_GLOUCESTER",555,44.0,3.0,24.0,1.0,16.0,17.0,19.0,45.0,9.0,10.0,47.0,7.0,4.0,48.0,6.0,21.0,7.0,0.0,23.0,4.0,26.0,2.0,6.0,19.0,25.0,12.0,5.0,0.0,7.0,26.0,0.0,10.0,10.0,8.0,9.0,1.0,7.0,4.0,7.0,0.0,1.0,46.0,65.0,1.0,2.0,60.0,207.0,4.0,7.0,8.0,2.0,1.0,14.0,13.0,11.0,10.0,15.0,2.0,9.0,5.0,35.0,0.0,6.0,8.0
"FRENCH SOLDIER_BOY",122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
"CONSTABLE_GRANDPRE",52,5.0,0.0,2.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,6.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"FRENCH KING_BEDFORD",190,18.0,2.0,1.0,1.0,6.0,6.0,4.0,12.0,7.0,0.0,9.0,3.0,2.0,13.0,1.0,4.0,5.0,0.0,14.0,0.0,8.0,0.0,5.0,9.0,13.0,2.0,2.0,1.0,1.0,9.0,2.0,3.0,3.0,1.0,2.0,0.0,2.0,4.0,3.0,0.0,2.0,23.0,28.0,0.0,3.0,24.0,72.0,0.0,5.0,3.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,8.0,0.0,4.0,0.0
"DAUPHIN_ORLEANS",626,46.0,1.0,22.0,2.0,12.0,13.0,9.0,40.0,8.0,3.0,46.0,5.0,5.0,58.0,3.0,9.0,5.0,2.0,30.0,2.0,30.0,1.0,12.0,13.0,19.0,6.0,0.0,0.0,8.0,23.0,2.0,7.0,12.0,1.0,10.0,1.0,13.0,3.0,6.0,0.0,0.0,52.0,58.0,1.0,3.0,58.0,223.0,6.0,8.0,3.0,1.0,1.0,30.0,1.0,7.0,5.0,16.0,1.0,4.0,1.0,34.0,2.0,6.0,0.0
"WESTMORELAND_KATHERINE",23,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"WESTMORELAND_ELY",92,4.0,0.0,5.0,0.0,0.0,3.0,1.0,8.0,2.0,0.0,8.0,0.0,1.0,8.0,0.0,4.0,0.0,0.0,6.0,0.0,5.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,12.0,0.0,0.0,4.0,36.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0
"ERPINGHAM_BATES",25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"KATHERINE_BEDFORD",196,4.0,0.0,1.0,1.0,3.0,1.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,7.0,26.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,1.0
"PISTOL_BOY",411,48.0,1.0,9.0,1.0,3.0,2.0,3.0,39.0,4.0,2.0,11.0,19.0,1.0,23.0,3.0,11.0,3.0,0.0,11.0,3.0,26.0,1.0,0.0,9.0,20.0,3.0,1.0,1.0,0.0,25.0,0.0,10.0,17.0,3.0,3.0,0.0,1.0,11.0,5.0,5.0,1.0,48.0,26.0,0.0,0.0,51.0,121.0,1.0,2.0,1.0,7.0,0.0,5.0,0.0,10.0,4.0,10.0,0.0,2.0,0.0,10.0,0.0,11.0,1.0
"ALICE_GLOUCESTER",62,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"BEDFORD_EXETER",65,6.0,0.0,3.0,0.0,3.0,0.0,1.0,4.0,3.0,0.0,5.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,6.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,9.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
"EXETER_QUEEN ISABEL",55,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"GOWER_JAMY",46,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"FLUELLEN_MACMORRIS",261,19.0,6.0,13.0,0.0,3.0,4.0,7.0,26.0,8.0,2.0,17.0,13.0,2.0,33.0,1.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0,0.0,10.0,16.0,3.0,1.0,1.0,1.0,17.0,0.0,0.0,4.0,1.0,6.0,0.0,0.0,6.0,3.0,0.0,2.0,24.0,33.0,1.0,0.0,22.0,114.0,2.0,0.0,5.0,3.0,0.0,18.0,5.0,5.0,6.0,3.0,0.0,2.0,0.0,19.0,0.0,6.0,0.0
"MONTJOY_WARWICK",121,16.0,1.0,6.0,0.0,2.0,4.0,1.0,5.0,1.0,0.0,12.0,2.0,0.0,12.0,0.0,6.0,7.0,0.0,9.0,1.0,3.0,0.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,5.0,19.0,12.0,0.0,0.0,18.0,44.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,2.0,0.0
"KING HENRY_BURGUNDY",2143,208.0,8.0,65.0,6.0,54.0,48.0,55.0,189.0,25.0,28.0,134.0,83.0,19.0,192.0,17.0,65.0,23.0,0.0,81.0,4.0,119.0,25.0,9.0,99.0,111.0,39.0,6.0,3.0,10.0,118.0,8.0,32.0,76.0,7.0,34.0,2.0,23.0,7.0,31.0,0.0,1.0,208.0,225.0,3.0,19.0,262.0,841.0,7.0,27.0,22.0,7.0,1.0,85.0,16.0,46.0,41.0,22.0,9.0,31.0,5.0,116.0,2.0,12.0,26.0
"KING HENRY_FLUELLEN",2711,221.0,12.0,90.0,2.0,93.0,71.0,33.0,221.0,53.0,32.0,187.0,69.0,19.0,268.0,17.0,51.0,41.0,0.0,98.0,13.0,157.0,10.0,37.0,64.0,129.0,63.0,3.0,10.0,25.0,131.0,22.0,26.0,27.0,11.0,36.0,3.0,27.0,31.0,43.0,3.0,18.0,292.0,292.0,2.0,12.0,314.0,1137.0,8.0,31.0,29.0,22.0,10.0,121.0,12.0,42.0,65.0,56.0,12.0,46.0,19.0,136.0,10.0,64.0,3.0
"EXETER_BURGUNDY",55,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"FRENCH KING_CONSTABLE",574,51.0,3.0,26.0,0.0,14.0,9.0,7.0,36.0,11.0,0.0,44.0,8.0,6.0,68.0,2.0,6.0,27.0,0.0,35.0,0.0,20.0,1.0,2.0,12.0,23.0,1.0,1.0,1.0,5.0,20.0,1.0,6.0,0.0,2.0,1.0,0.0,8.0,2.0,9.0,1.0,2.0,67.0,60.0,0.0,3.0,65.0,210.0,2.0,4.0,7.0,1.0,2.0,17.0,4.0,9.0,4.0,17.0,0.0,0.0,0.0,25.0,4.0,10.0,0.0
"MACMORRIS_JAMY",244,17.0,0.0,11.0,0.0,3.0,5.0,5.0,19.0,1.0,0.0,16.0,1.0,0.0,14.0,1.0,10.0,3.0,0.0,15.0,0.0,16.0,1.0,0.0,4.0,10.0,1.0,0.0,0.0,7.0,9.0,0.0,5.0,13.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,21.0,0.0,0.0,20.0,90.0,4.0,1.0,1.0,1.0,0.0,13.0,0.0,1.0,8.0,0.0,0.0,4.0,5.0,20.0,3.0,6.0,0.0
"FLUELLEN_PISTOL",1003,77.0,9.0,31.0,0.0,24.0,11.0,20.0,98.0,21.0,10.0,44.0,50.0,7.0,91.0,9.0,18.0,0.0,0.0,36.0,1.0,66.0,2.0,1.0,28.0,41.0,18.0,2.0,1.0,3.0,72.0,3.0,5.0,10.0,4.0,21.0,8.0,4.0,12.0,6.0,2.0,4.0,87.0,106.0,2.0,1.0,101.0,401.0,3.0,6.0,9.0,4.0,0.0,50.0,15.0,17.0,14.0,20.0,2.0,16.0,4.0,55.0,1.0,13.0,4.0
"DAUPHIN_LORDS",56,6.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
"FRENCH KING_KING HENRY",190,18.0,2.0,1.0,1.0,6.0,6.0,4.0,12.0,7.0,0.0,9.0,3.0,2.0,13.0,1.0,4.0,5.0,0.0,14.0,0.0,8.0,0.0,5.0,9.0,13.0,2.0,2.0,1.0,1.0,9.0,2.0,3.0,3.0,1.0,2.0,0.0,2.0,4.0,3.0,0.0,2.0,23.0,28.0,0.0,3.0,24.0,72.0,0.0,5.0,3.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,8.0,0.0,4.0,0.0
"FLUELLEN_EXETER",590,31.0,3.0,16.0,0.0,30.0,8.0,9.0,64.0,4.0,7.0,26.0,9.0,1.0,40.0,3.0,11.0,1.0,0.0,21.0,1.0,48.0,2.0,1.0,26.0,33.0,7.0,1.0,2.0,4.0,45.0,2.0,8.0,6.0,2.0,5.0,1.0,2.0,7.0,3.0,0.0,1.0,46.0,51.0,0.0,2.0,61.0,224.0,0.0,3.0,7.0,3.0,0.0,33.0,6.0,10.0,9.0,18.0,3.0,6.0,2.0,33.0,0.0,7.0,0.0
"SALISBURY_KING HENRY",25,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"WESTMORELAND_SALISBURY",60,4.0,0.0,3.0,0.0,4.0,3.0,0.0,7.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,8.0,30.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0
"FRENCH KING_MESSENGER",94,10.0,0.0,6.0,0.0,4.0,3.0,1.0,13.0,3.0,0.0,12.0,2.0,2.0,7.0,0.0,1.0,6.0,0.0,4.0,0.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,2.0,14.0,35.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"KATHERINE_BURGUNDY",196,4.0,0.0,1.0,1.0,3.0,1.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,7.0,26.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,1.0
"ORLEANS_CONSTABLE",327,17.0,0.0,14.0,1.0,10.0,15.0,10.0,36.0,10.0,4.0,31.0,1.0,1.0,35.0,1.0,11.0,2.0,0.0,10.0,0.0,26.0,4.0,4.0,9.0,14.0,6.0,0.0,1.0,8.0,20.0,3.0,8.0,3.0,1.0,7.0,3.0,2.0,1.0,4.0,0.0,0.0,24.0,33.0,3.0,1.0,27.0,143.0,2.0,5.0,3.0,2.0,0.0,19.0,3.0,4.0,11.0,8.0,0.0,7.0,2.0,11.0,0.0,5.0,0.0
"CHORUS_KATHERINE",120,7.0,1.0,9.0,0.0,5.0,13.0,2.0,1.0,7.0,4.0,0.0,12.0,5.0,0.0,5.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,4.0,5.0,1.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,13.0,0.0,12.0,1.0,38.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0
"EXETER_WARWICK",230,5.0,2.0,12.0,0.0,8.0,4.0,2.0,12.0,4.0,5.0,21.0,2.0,1.0,21.0,1.0,3.0,1.0,0.0,15.0,1.0,8.0,1.0,0.0,4.0,9.0,2.0,2.0,0.0,2.0,6.0,3.0,3.0,2.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,12.0,31.0,0.0,2.0,13.0,75.0,1.0,4.0,0.0,1.0,2.0,12.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,12.0,0.0,5.0,0.0
"KING HENRY_BATES",1416,106.0,7.0,48.0,2.0,45.0,43.0,24.0,120.0,30.0,23.0,105.0,29.0,12.0,140.0,11.0,29.0,9.0,0.0,41.0,10.0,90.0,8.0,25.0,34.0,72.0,38.0,3.0,2.0,9.0,72.0,4.0,16.0,12.0,6.0,21.0,2.0,15.0,15.0,25.0,3.0,12.0,144.0,158.0,0.0,8.0,151.0,603.0,6.0,21.0,13.0,13.0,7.0,75.0,9.0,25.0,35.0,40.0,11.0,28.0,10.0,76.0,10.0,38.0,1.0
"MACMORRIS_PISTOL",244,17.0,0.0,11.0,0.0,3.0,5.0,5.0,19.0,1.0,0.0,16.0,1.0,0.0,14.0,1.0,10.0,3.0,0.0,15.0,0.0,16.0,1.0,0.0,4.0,10.0,1.0,0.0,0.0,7.0,9.0,0.0,5.0,13.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,21.0,0.0,0.0,20.0,90.0,4.0,1.0,1.0,1.0,0.0,13.0,0.0,1.0,8.0,0.0,0.0,4.0,5.0,20.0,3.0,6.0,0.0
"GOWER_MACMORRIS",46,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"CHORUS_LORDS",120,7.0,1.0,9.0,0.0,5.0,13.0,2.0,1.0,7.0,4.0,0.0,12.0,5.0,0.0,5.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,4.0,5.0,1.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,13.0,0.0,12.0,1.0,38.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0
"MESSENGER_DAUPHIN",21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MACMORRIS_NYM",244,17.0,0.0,11.0,0.0,3.0,5.0,5.0,19.0,1.0,0.0,16.0,1.0,0.0,14.0,1.0,10.0,3.0,0.0,15.0,0.0,16.0,1.0,0.0,4.0,10.0,1.0,0.0,0.0,7.0,9.0,0.0,5.0,13.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,21.0,0.0,0.0,20.0,90.0,4.0,1.0,1.0,1.0,0.0,13.0,0.0,1.0,8.0,0.0,0.0,4.0,5.0,20.0,3.0,6.0,0.0
"KING HENRY_WARWICK",4109,388.0,17.0,133.0,9.0,127.0,87.0,77.0,350.0,59.0,38.0,265.0,123.0,41.0,399.0,32.0,104.0,84.0,0.0,174.0,9.0,221.0,30.0,28.0,159.0,211.0,66.0,8.0,12.0,34.0,207.0,28.0,54.0,104.0,12.0,57.0,4.0,47.0,24.0,52.0,0.0,12.0,431.0,442.0,7.0,34.0,515.0,1660.0,13.0,49.0,45.0,18.0,8.0,169.0,23.0,82.0,83.0,57.0,14.0,51.0,17.0,194.0,7.0,52.0,29.0
"SCROOP_BEDFORD",100,10.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,5.0,2.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,5.0,8.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,6.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,10.0,0.0,0.0,12.0,36.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0
"HOSTESS_NYM",416,24.0,2.0,9.0,0.0,6.0,12.0,13.0,40.0,8.0,4.0,30.0,3.0,1.0,36.0,1.0,9.0,2.0,0.0,24.0,2.0,23.0,0.0,2.0,7.0,14.0,11.0,2.0,1.0,17.0,15.0,7.0,9.0,5.0,1.0,10.0,0.0,9.0,4.0,0.0,2.0,2.0,33.0,59.0,1.0,2.0,30.0,155.0,6.0,6.0,5.0,6.0,2.0,14.0,4.0,4.0,9.0,16.0,1.0,8.0,0.0,29.0,0.0,7.0,0.0
"MONTJOY_WESTMORELAND",101,10.0,0.0,4.0,0.0,2.0,2.0,2.0,8.0,4.0,3.0,7.0,8.0,1.0,8.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,12.0,1.0,0.0,12.0,38.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0
"DAUPHIN_BOURBON",67,3.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,5.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0
"JAMY_GOWER",132,6.0,0.0,0.0,0.0,4.0,2.0,4.0,11.0,1.0,0.0,3.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,3.0,1.0,8.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,3.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,10.0,0.0,0.0,10.0,31.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0
"EXETER_GLOUCESTER",273,9.0,2.0,12.0,0.0,9.0,6.0,2.0,14.0,6.0,6.0,23.0,5.0,1.0,28.0,2.0,3.0,1.0,0.0,15.0,2.0,10.0,1.0,1.0,6.0,12.0,2.0,2.0,0.0,2.0,8.0,5.0,3.0,2.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,16.0,35.0,0.0,2.0,18.0,94.0,1.0,6.0,0.0,1.0,2.0,13.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,12.0,0.0,6.0,0.0
"ORLEANS_RAMBURES",351,19.0,0.0,15.0,1.0,10.0,15.0,10.0,36.0,10.0,4.0,32.0,1.0,1.0,36.0,3.0,11.0,3.0,0.0,10.0,0.0,26.0,4.0,4.0,10.0,15.0,6.0,0.0,1.0,8.0,20.0,3.0,8.0,4.0,1.0,7.0,3.0,2.0,1.0,4.0,0.0,0.0,25.0,33.0,3.0,1.0,29.0,146.0,2.0,5.0,3.0,2.0,0.0,19.0,3.0,4.0,11.0,8.0,0.0,7.0,2.0,11.0,0.0,5.0,0.0
"FLUELLEN_WILLIAMS",484,31.0,3.0,19.0,0.0,17.0,6.0,7.0,49.0,3.0,2.0,28.0,13.0,1.0,37.0,2.0,7.0,1.0,0.0,21.0,1.0,37.0,1.0,0.0,16.0,22.0,5.0,0.0,2.0,1.0,38.0,1.0,6.0,4.0,0.0,4.0,0.0,3.0,6.0,1.0,0.0,1.0,41.0,38.0,0.0,0.0,48.0,186.0,0.0,1.0,4.0,1.0,0.0,30.0,4.0,6.0,9.0,17.0,3.0,2.0,1.0,26.0,0.0,6.0,0.0
"FLUELLEN_HERALD",27,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"MONTJOY_KING HENRY",436,55.0,1.0,16.0,0.0,9.0,7.0,8.0,31.0,8.0,5.0,27.0,11.0,2.0,37.0,1.0,18.0,20.0,0.0,24.0,2.0,20.0,4.0,9.0,14.0,22.0,3.0,0.0,0.0,4.0,19.0,1.0,10.0,5.0,4.0,4.0,2.0,4.0,1.0,10.0,1.0,6.0,60.0,48.0,1.0,0.0,64.0,168.0,1.0,4.0,6.0,2.0,4.0,13.0,2.0,6.0,7.0,11.0,2.0,2.0,7.0,21.0,0.0,8.0,0.0
